id	filename	md5	size	state
001a2541-a9d3-4811-97bf-d8fcd89b4c66	d20acb1e-7d44-4a0f-9ad4-2cc39c8fb151.htseq.counts.gz	09d3512ca778fd12750efabeb948ef0a	257725	validated
0090d3a6-7151-4777-9dcd-2d1182fc8d41	ce9af9d2-2bda-4776-a4d8-0bf394d4cbd3.htseq.counts.gz	8da87b158b9700086486ae304a1a6fcc	251862	validated
009b8313-1719-4578-9203-34f1cdfee823	47551b1a-91c7-4a83-84c6-435eaf011711.mirbase21.mirnas.quantification.txt	fbbf3a6e42bdbe8bd8b5abe8e235c022	50291	validated
00ba3fef-73b0-4cd3-9465-883bb914b27e	d95a7cf6-6edb-427d-a86c-a16da11cfd46.mirbase21.mirnas.quantification.txt	1b2ad0af5f3591cbd23533217d0983b3	50150	validated
00e28af6-4366-4036-a3fb-d392c86e6f70	90f3071a-d8cd-41e3-9edf-6f4943d64c4f.mirbase21.mirnas.quantification.txt	a4a531e171b16dffa091a60c1b9b42c4	50343	validated
010c80c8-2f98-48b0-8320-826bd6b8fc50	1c152ff2-e7e0-4161-889d-e9d8f55c698c.mirbase21.mirnas.quantification.txt	82dd0a918306967aeb66b4e6ea4f6134	50371	validated
019be69a-c04b-4c5d-b0aa-e485931228c0	b5798e8d-dad0-40eb-bdc7-c0e1997b8547.mirbase21.mirnas.quantification.txt	4a2bbcefb31b29b5e51df2d4a201d0c1	50133	validated
01f532e1-8254-4da3-95db-7bb469414131	bc45957d-3983-4030-97dd-13d898f1c329.mirbase21.mirnas.quantification.txt	6de3f63ba50b87e8b99a6fe697de859a	50254	validated
02339e00-b031-49ef-afde-c47d668b4004	79b75f4b-42c7-4dbb-bdbb-fb865c47c000.mirbase21.mirnas.quantification.txt	4379e5e824c43c3654d9c3df86f92a4b	50585	validated
02346d84-b666-416c-a537-fde40133460b	bcd07e88-975d-4f4b-9b2e-33ad0f2211f3.htseq.counts.gz	2dc9642eecfbd356e02a1957a9c59af9	252883	validated
02447964-13d3-4eef-a189-0c27ac20eafc	5df5820f-91ff-44e0-a899-118cd3faef94.htseq.counts.gz	8bbf190f1dda137652a15879b70a8f24	260719	validated
0255b5b2-56ea-4e04-9e1b-838235eac0a0	fe8a279b-cfbb-4a96-9e30-5589bddb7911.htseq.counts.gz	25beaa520c65ab6549d885efa12f225a	254087	validated
025cab33-0b42-440c-9cca-a746e7d4022b	e81fc37c-f65b-4e69-b03a-e522fc76ec08.htseq.counts.gz	6501445974283b502c137673f75f15cf	257414	validated
02e3368d-afb5-4f9f-8d6c-e512c2ba435b	771e6d5d-c6f8-4b1e-a17f-3a82e4293cff.mirbase21.mirnas.quantification.txt	249e819898bdf5a2c6317b0eecf373b4	50483	validated
02fae470-8bf7-46e1-920c-d5b744e5ad3c	c16fa819-1924-4ced-80e2-8c1557e995ee.mirbase21.mirnas.quantification.txt	d0efac0e799d78dde96108cb8e2b6600	50370	validated
03ce71a8-3571-4388-8d27-acc15458fd21	2106a4b4-baa8-431f-a3f6-ac082f8698bb.mirbase21.mirnas.quantification.txt	5fdac1748fafd4291f0441c3c043c560	50333	validated
04093974-c2a2-4927-8c84-0639330247e5	490767d4-4b69-46cd-8a80-0e2f21aa75ad.mirbase21.mirnas.quantification.txt	1cbee94745b8f7c21a04efa767cd0cd3	50406	validated
0435e383-6ec2-46c4-ba15-713a2447b0d1	37be9876-e459-48e9-b9ba-b47d02c17ae7.mirbase21.mirnas.quantification.txt	26683c027ed3504836f79b1ccaf28090	50426	validated
044bcb07-5c54-4d1b-9d81-5e3ee2bcbc26	ae42d69a-f6a4-4d03-9f4a-869b71fef8f8.htseq.counts.gz	acf05ccbee309dd3fa2f5bdb66bf3f65	254071	validated
04bee3c2-78f8-4345-b712-36f7b3a59753	c021cbb0-388a-4c5d-8cf3-edc5335a0113.htseq.counts.gz	032f1cd7f9039ba02a4583615940f148	257041	validated
04d7ee0b-95ce-4af2-8140-547e9c6bd187	a0cb35f5-0d64-4fb9-9747-acf4cfc88012.htseq.counts.gz	88f789189fa46973330d6b898c37de2f	256842	validated
05836a21-86bf-462e-a629-05b80e332980	3d82dd3a-3603-41f9-96c0-e5d839db48d2.htseq.counts.gz	77d74af1f3019e1cdc7acc9133fc9de1	256490	validated
0611c0d9-759f-4fad-80a4-35692c13b2c7	029d304b-56ee-403e-ad39-0c2ce07d5a09.htseq.counts.gz	5a0f5f4273d1416ac843a82e40077a3a	249846	validated
0643dfb9-e6f0-408f-b7ca-7202159c91b1	856dcaf3-b961-417c-8043-81c02ab3472b.mirbase21.mirnas.quantification.txt	c650e974992a435cbc2df51b349cf8b3	50253	validated
06cb86c7-ed62-4f61-b200-05bbe290ca5f	10d44e49-25cd-409c-b89f-f52eb7b8b7e2.mirbase21.mirnas.quantification.txt	b3155dc6f2e3fef22f4194ca074df4cb	50389	validated
06f54294-c354-450a-a812-714dddc2fc4b	4f77a97a-1b60-45cc-8dce-91b47d76a460.htseq.counts.gz	f0852004611b1981a2651929d3631f61	256986	validated
072d2c9f-071f-4d7f-b759-661b315d077d	61bde405-05d4-47fe-b715-e248d2fb85ba.htseq.counts.gz	f92b2273e5eab4aea588a7ab163dc897	254581	validated
